alpha1,seed,model,tau,approval_rate_overall,female_n,male_n,female_fraction,male_fraction,mean_probability_female,proxy_auc,proxy_accuracy,C_m,C_f,A_m,A_f,P_m,P_f,TP_m,TP_f,N_m,N_f,FP_m,FP_f,approval_rate_m,approval_rate_f,TPR_m,TPR_f,FPR_m,FPR_f,DP,EO,data_scope,dataset_sha256,threshold_policy
0.4,0,logistic_regression,0.8,0.6591845128430495,445509,441931,0.5020159109348238,0.4979840890651762,0.5022610342572906,0.6095445361510595,0.5799377986117371,88467,89022,58261,58737,67802,67457,46304,46368,15208,15405,8573,8675,0.6585619496535431,0.6598031947159129,0.6829297070882865,0.6873712142550069,0.5637164650184113,0.5631288542680948,0.001241245062369778,0.0044415071667204264,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,0,random_forest,0.8,0.6619058082472716,445509,441931,0.5020159109348238,0.4979840890651762,0.5022610342572906,0.6095445361510595,0.5799377986117371,88467,89022,58734,58747,67802,67457,46717,46364,15208,15405,8629,8675,0.6639085760792159,0.6599155264990676,0.6890209728326598,0.687311917221341,0.5673987375065754,0.5631288542680948,0.0039930495801483445,0.004269883238480654,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,1,logistic_regression,0.8,0.6591845128430495,446412,441028,0.5030334445145588,0.4969665554854413,0.5022610342572906,0.6112169723024317,0.5802927521860632,88275,89214,58135,58863,67390,67869,46091,46581,15374,15239,8652,8596,0.6585669781931465,0.6597955477839801,0.6839442053717169,0.6863369137603325,0.5627683101339924,0.5640790078089113,0.001228569590833617,0.0023927083886156053,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,1,random_forest,0.8,0.6619058082472716,446412,441028,0.5030334445145588,0.4969665554854413,0.5022610342572906,0.6112169723024317,0.5802927521860632,88275,89214,58614,58867,67390,67869,46451,46630,15374,15239,8752,8552,0.6639932030586236,0.6598403837962652,0.6892862442498887,0.6870588928671411,0.5692727982307793,0.5611916792440449,0.0041528192623584426,0.00808111898673436,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,2,logistic_regression,0.8,0.6591845128430495,445732,441708,0.5022671955287118,0.4977328044712882,0.5022610342572906,0.6100777674784239,0.580422338411611,88509,88980,58190,58808,67719,67540,46291,46381,15313,15300,8522,8726,0.6574472652498616,0.6609125646212632,0.6835747722204994,0.6867189813443885,0.5565206034088683,0.5703267973856209,0.003465299371401609,0.013806193976752534,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,2,random_forest,0.8,0.6619058082472716,445732,441708,0.5022671955287118,0.4977328044712882,0.5022610342572906,0.6100777674784239,0.580422338411611,88509,88980,58735,58746,67719,67540,46741,46340,15313,15300,8624,8680,0.663604831147115,0.6602157788267027,0.6902198792067219,0.686111933668937,0.5631816103963952,0.5673202614379085,0.0033890523204123113,0.0041386510415132305,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,3,logistic_regression,0.8,0.6591845128430495,445353,442087,0.5018401244027765,0.49815987559722347,0.5022610342572906,0.6106100012285299,0.5800842873884432,88576,88913,58404,58594,67895,67364,46486,46186,15229,15384,8604,8644,0.6593659682080925,0.6590037452341052,0.6846748656012961,0.6856184312095481,0.5649747192855735,0.5618824752990119,0.00036222297398724734,0.0030922439865616047,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,3,random_forest,0.8,0.6619058082472716,445353,442087,0.5018401244027765,0.49815987559722347,0.5022610342572906,0.6106100012285299,0.5800842873884432,88576,88913,58942,58539,67895,67364,46933,46148,15229,15384,8680,8624,0.665439848265896,0.6583851630245297,0.6912585610133294,0.6850543316905172,0.5699651979775429,0.5605824232969319,0.007054685241366321,0.009382774680610995,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,4,logistic_regression,0.8,0.6591845128430495,445157,442283,0.5016192644009736,0.4983807355990264,0.5022610342572906,0.6099857089929622,0.5797067970792391,88393,89096,58067,58931,67634,67625,46104,46568,15356,15257,8606,8642,0.6569185342730759,0.6614326120140074,0.6816689830558594,0.6886210720887246,0.5604324042719458,0.5664285246116537,0.004514077740931488,0.00695208903286515,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,4,random_forest,0.8,0.6619058082472716,445157,442283,0.5016192644009736,0.4983807355990264,0.5022610342572906,0.6099857089929622,0.5797067970792391,88393,89096,58610,58871,67634,67625,46558,46523,15356,15257,8695,8609,0.6630615546479924,0.6607591811080183,0.6883815832273709,0.6879556377079482,0.5662281844230268,0.5642655830110769,0.0023023735399740897,0.001962601411949927,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,5,logistic_regression,0.8,0.6591845128430495,445123,442317,0.5015809519516813,0.49841904804831877,0.5022610342572906,0.6094542270927872,0.5800730190210043,88398,89091,58363,58635,67598,67661,46359,46313,15352,15261,8636,8612,0.66022986945406,0.6581472876048086,0.6858043137370928,0.6844858929072878,0.5625325690463783,0.5643142651202412,0.0020825818492514747,0.001781696073862915,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,5,random_forest,0.8,0.6619058082472716,445123,442317,0.5015809519516813,0.49841904804831877,0.5022610342572906,0.6094542270927872,0.5800730190210043,88398,89091,58751,58730,67598,67661,46707,46374,15352,15261,8678,8626,0.6646191090296161,0.6592136130473336,0.6909523950412734,0.6853874462393402,0.5652683689421574,0.5652316361968416,0.00540549598228246,0.005564948801933145,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,6,logistic_regression,0.8,0.6591845128430495,445501,441939,0.5020068962408726,0.49799310375912736,0.5022610342572906,0.6099190663320042,0.5785686919679077,88524,88965,58581,58417,67795,67464,46534,46138,15387,15226,8763,8485,0.6617527450183002,0.6566290114089811,0.6863928018290434,0.6838906676153208,0.5695067264573991,0.5572704584263759,0.005123733609319059,0.012236268031023179,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,6,random_forest,0.8,0.6619058082472716,445501,441939,0.5020068962408726,0.49799310375912736,0.5022610342572906,0.6099190663320042,0.5785686919679077,88524,88965,58960,58521,67795,67464,46867,46214,15387,15226,8788,8516,0.6660340698567621,0.6577980104535491,0.6913046684858766,0.6850171943555081,0.5711314746214337,0.5593064494942861,0.008236059403212925,0.01182502512714756,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,7,logistic_regression,0.8,0.6591845128430495,445963,441477,0.502527494816551,0.49747250518344904,0.5022610342572906,0.6122278764341977,0.5814928333183088,88567,88922,58488,58510,67903,67356,46474,46198,15192,15421,8646,8602,0.6603814061670825,0.6579923978318076,0.684417477872848,0.6858780212601698,0.5691153238546603,0.557810777511186,0.002389008335274889,0.011304546343474331,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,7,random_forest,0.8,0.6619058082472716,445963,441477,0.502527494816551,0.49747250518344904,0.5022610342572906,0.6122278764341977,0.5814928333183088,88567,88922,59028,58453,67903,67356,46970,46111,15192,15421,8699,8605,0.6664784852145833,0.6573513866084884,0.6917220152276041,0.6845863768632342,0.5726040021063717,0.5580053174242916,0.009127098606094952,0.014598684682080143,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,8,logistic_regression,0.8,0.6591845128430495,445547,441893,0.5020587307310916,0.4979412692689083,0.5022610342572906,0.6075077985084834,0.5779602001262057,88509,88980,58317,58681,67613,67646,46244,46428,15435,15178,8687,8561,0.6588821475782124,0.6594852775904698,0.6839513111383906,0.6863376991987701,0.5628117913832199,0.5640400579786533,0.0006031300122574246,0.0023863880603794962,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,8,random_forest,0.8,0.6619058082472716,445547,441893,0.5020587307310916,0.4979412692689083,0.5022610342572906,0.6075077985084834,0.5779602001262057,88509,88980,58856,58625,67613,67646,46746,46335,15435,15178,8732,8572,0.6649719237591657,0.6588559226792537,0.6913759188321772,0.6849628950714011,0.5657272432782637,0.5647647911450784,0.006116001079911948,0.0064130237607761265,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,9,logistic_regression,0.8,0.6591845128430495,446097,441343,0.5026784909402325,0.4973215090597674,0.5022610342572906,0.6101683664384105,0.5793687460560714,88195,89294,58082,58916,67405,67854,46047,46625,15293,15320,8628,8620,0.658563410624185,0.6597979707483146,0.683139232994585,0.6871370884546232,0.5641796900542732,0.5626631853785901,0.0012345601241295912,0.003997855460038169,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.4,9,random_forest,0.8,0.6619058082472716,446097,441343,0.5026784909402325,0.4973215090597674,0.5022610342572906,0.6101683664384105,0.5793687460560714,88195,89294,58638,58843,67405,67854,46513,46568,15293,15320,8703,8601,0.6648676228811157,0.6589804466145541,0.690052666716119,0.686297049547558,0.5690838945922971,0.5614229765013055,0.005887176266561545,0.007660918090991675,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.7,0,logistic_regression,0.8,0.6591845128430495,447083,440357,0.5037895519697106,0.49621044803028935,0.5040122222225096,0.6825426948457125,0.6341048408906518,88203,89286,58170,58828,67790,67469,46309,46363,15219,15394,8607,8641,0.6595013775041665,0.6588714916112268,0.6831243546245759,0.6871748506721606,0.5655430711610487,0.5613225932181369,0.0006298858929396633,0.0042204779429118044,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.7,0,random_forest,0.8,0.6619058082472716,447083,440357,0.5037895519697106,0.49621044803028935,0.5040122222225096,0.6825426948457125,0.6341048408906518,88203,89286,58824,58657,67790,67469,46867,46214,15219,15394,8706,8598,0.6669160912894119,0.6569562977398472,0.6913556571765748,0.684966429026664,0.5720480977725212,0.5585292971287514,0.009959793549564666,0.013518800643769757,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.7,1,logistic_regression,0.8,0.6591845128430495,447515,439925,0.5042763454430722,0.4957236545569278,0.5040122222225096,0.6827117116752497,0.6334118362931579,87963,89526,57864,59134,67363,67896,45976,46696,15321,15292,8626,8622,0.6578220388117731,0.6605231999642562,0.682511170820777,0.6877577471426888,0.5630180797598068,0.5638242218153283,0.002701161152483089,0.005246576321911833,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.7,1,random_forest,0.8,0.6619058082472716,447515,439925,0.5042763454430722,0.4957236545569278,0.5040122222225096,0.6827117116752497,0.6334118362931579,87963,89526,58559,58922,67363,67896,46519,46562,15321,15292,8765,8539,0.6657230881165945,0.6581551727989634,0.6905719757136707,0.6857841404501002,0.572090594608707,0.5583965472142297,0.007567915317631124,0.013694047394477327,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.7,2,logistic_regression,0.8,0.6591845128430495,447130,440310,0.5038425132966736,0.49615748670332643,0.5040122222225096,0.683959390034617,0.6349161633462544,88206,89283,57984,59014,67647,67612,46214,46458,15339,15274,8560,8688,0.6573702469219781,0.6609768936975684,0.6831640723165846,0.6871265455836242,0.5580546319838321,0.5688097420453058,0.0036066467755903053,0.010755110061473672,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.7,2,random_forest,0.8,0.6619058082472716,447130,440310,0.5038425132966736,0.49615748670332643,0.5040122222225096,0.683959390034617,0.6349161633462544,88206,89283,58683,58798,67647,67612,46776,46305,15339,15274,8701,8603,0.6652948778994626,0.6585576201516526,0.6914719056277441,0.6848636336744957,0.5672468870200144,0.5632447296058661,0.006737257747809977,0.0066082719532484235,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.7,3,logistic_regression,0.8,0.6591845128430495,446977,440463,0.5036701072748581,0.496329892725142,0.5040122222225096,0.6833940192915814,0.6342118903813215,88348,89141,58253,58745,67860,67399,46398,46274,15248,15365,8638,8610,0.659358446144791,0.6590121268552069,0.6837312113174182,0.6865680499710678,0.5665005246589717,0.5603644646924829,0.00034631928958406277,0.006136059966488805,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.7,3,random_forest,0.8,0.6619058082472716,446977,440463,0.5036701072748581,0.496329892725142,0.5040122222225096,0.6833940192915814,0.6342118903813215,88348,89141,58975,58506,67860,67399,46996,46085,15248,15365,8753,8551,0.6675306741522162,0.6563309812544171,0.6925434718538167,0.6837638540631167,0.5740424973767051,0.5565245688252521,0.011199692897799096,0.017517928551452955,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.7,4,logistic_regression,0.8,0.6591845128430495,446868,440572,0.5035472820697737,0.4964527179302263,0.5040122222225096,0.6814161849604405,0.6324990985306049,88073,89416,57888,59110,67556,67703,46031,46641,15337,15276,8634,8614,0.6572729440350619,0.6610673704929767,0.681375451477293,0.6889059568999897,0.5629523374845146,0.5638910709609846,0.0037944264579148346,0.007530505422696732,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.7,4,random_forest,0.8,0.6619058082472716,446868,440572,0.5035472820697737,0.4964527179302263,0.5040122222225096,0.6814161849604405,0.6324990985306049,88073,89416,58603,58878,67556,67703,46643,46438,15337,15276,8746,8558,0.6653912095647928,0.6584727565536369,0.6904346024039315,0.6859075668729598,0.5702549390363174,0.5602251898402724,0.006918453011155901,0.010029749196045046,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
0.7,5,logistic_regression,0.8,0.6591845128430495,447195,440245,0.5039157576850266,0.4960842423149734,0.5040122222225096,0.6827800615731665,0.6343358424231498,87940,89549,58006,58992,67421,67838,46140,46532,15334,15279,8634,8614,0.659608824198317,0.6587678254363533,0.684356506133104,0.6859282408089861,0.5630624755445416,0.5637803521172852,0.0008409987619637516,0.0015717346758821193,real_lendingclub,3eae03c28fd9d2e8a076ebeb73507e8d4d0f44d90500decdb0936e0933d1f36a,validation_balanced_accuracy_max
